InvoiceNo,StockCode,Description,Category,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,Revenue
514627,P1088,USB Cable,Office,2,2025-01-01 11:12:00,17.2,11807.0,Italy,34.4
509257,P1076,Shampoo,Fashion,2,2025-01-01 11:19:00,97.63,10632.0,Italy,195.26
527516,P1009,Water Bottle,Fashion,1,2025-01-01 11:19:00,46.68,12126.0,Germany,46.68
519078,P1109,Novel,Fashion,6,2025-01-01 11:20:00,27.26,10319.0,Germany,163.56
506232,P1058,Bluetooth Speaker,Books,3,2025-01-01 11:20:00,18.7,11042.0,Netherlands,56.1
520399,P1040,Pen Set,Toys,4,2025-01-01 11:26:00,30.99,10491.0,Canada,123.96
516910,P1043,T-Shirt,Toys,2,2025-01-01 11:34:00,6.14,12181.0,Spain,12.28
526502,P1117,Power Bank,Beauty,2,2025-01-01 11:41:00,56.88,11007.0,India,113.76
503365,P1092,Desk Lamp,Books,1,2025-01-01 11:43:00,30.98,10700.0,United States,30.98
528551,P1062,Keyboard,Office,1,2025-01-01 11:46:00,34.32,11809.0,France,34.32
521830,P1044,Jeans,Toys,2,2025-01-01 11:49:00,62.69,12019.0,United Kingdom,125.38
520494,P1021,Cookware Set,Sports,3,2025-01-01 12:10:00,114.25,10896.0,Germany,342.75
509326,P1031,Smart Watch,Beauty,2,2025-01-01 12:19:00,75.69,12297.0,Germany,151.38
514102,P1061,Power Bank,Home & Kitchen,2,2025-01-01 12:27:00,31.42,10182.0,France,62.84
500114,P1053,Novel,Sports,4,2025-01-01 12:46:00,60.61,10055.0,Italy,242.44
520422,P1044,Jeans,Toys,5,2025-01-01 12:54:00,61.03,10035.0,United Kingdom,305.15
513162,P1092,Desk Lamp,Books,6,2025-01-01 13:01:00,34.76,10829.0,India,208.56
508264,P1053,Novel,Sports,3,2025-01-01 13:29:00,65.39,11659.0,Australia,196.17
510195,P1064,Desk Lamp,Toys,1,2025-01-01 13:40:00,66.53,11929.0,Germany,66.53
520119,P1078,Storage Box,Sports,3,2025-01-01 14:25:00,17.08,11883.0,Netherlands,51.24
502333,P1022,Storage Box,Office,3,2025-01-01 14:41:00,4.27,11555.0,France,12.81
530129,P1114,Bluetooth Speaker,Fashion,4,2025-01-01 15:13:00,49.7,10601.0,United Kingdom,198.8
509296,P1008,Desk Lamp,Fashion,2,2025-01-01 15:15:00,64.38,10140.0,India,128.76
526516,P1062,Keyboard,Office,1,2025-01-01 15:19:00,32.52,11499.0,United Kingdom,32.52
527347,P1015,T-Shirt,Electronics,3,2025-01-01 15:21:00,235.1,12143.0,Italy,705.3
526089,P1118,Keyboard,Fashion,2,2025-01-01 15:35:00,103.96,10620.0,United Kingdom,207.92
500462,P1104,Shampoo,Home & Kitchen,2,2025-01-01 15:37:00,25.96,12191.0,Australia,51.92
530555,P1023,Coffee Mug,Electronics,2,2025-01-01 15:40:00,90.12,11392.0,United States,180.24
518015,P1029,Wireless Headphones,Electronics,5,2025-01-01 15:54:00,163.1,10435.0,India,815.5
509205,P1087,Smart Watch,Fashion,3,2025-01-01 15:59:00,17.04,10508.0,Netherlands,51.12
523063,P1104,Shampoo,Home & Kitchen,3,2025-01-01 16:01:00,26.02,11684.0,India,78.06
522499,P1033,Power Bank,Fashion,2,2025-01-01 16:15:00,26.06,10688.0,India,52.12
504171,P1073,Face Wash,Home & Kitchen,3,2025-01-01 16:16:00,77.49,11269.0,India,232.47
516287,P1115,Smart Watch,Sports,6,2025-01-01 16:21:00,123.05,10354.0,Canada,738.3
530374,P1074,Moisturizer,Home & Kitchen,2,2025-01-01 16:28:00,9.23,10846.0,United Kingdom,18.46
528536,P1020,Shampoo,Sports,3,2025-01-01 16:36:00,27.97,10275.0,France,83.91
512187,P1029,Wireless Headphones,Electronics,2,2025-01-01 16:48:00,157.25,11472.0,United Kingdom,314.5
529488,P1093,Water Bottle,Sports,4,2025-01-01 16:58:00,124.7,10758.0,Spain,498.8
530428,P1097,Running Shoes,Office,4,2025-01-01 17:04:00,54.45,12077.0,Spain,217.8
511433,P1055,Board Game,Office,3,2025-01-01 17:22:00,2.18,11430.0,United States,6.54
519239,P1059,Smart Watch,Home & Kitchen,1,2025-01-01 17:31:00,46.13,11465.0,India,46.13
524423,P1111,Board Game,Office,4,2025-01-01 17:40:00,41.59,12466.0,India,166.36
528239,P1051,Coffee Mug,Sports,3,2025-01-01 17:55:00,112.97,11983.0,India,338.91
500899,P1003,Smart Watch,Fashion,7,2025-01-01 18:13:00,93.64,11785.0,India,655.48
510296,P1003,Smart Watch,Fashion,4,2025-01-01 18:15:00,85.65,11858.0,Netherlands,342.6
527996,P1052,Bedsheet,Home & Kitchen,2,2025-01-01 18:23:00,23.73,11868.0,France,47.46
501702,P1029,Wireless Headphones,Electronics,2,2025-01-01 18:51:00,152.96,12118.0,United Kingdom,305.92
519347,P1100,Jeans,Toys,2,2025-01-01 19:15:00,42.71,11261.0,India,85.42
515099,P1030,Bluetooth Speaker,Fashion,3,2025-01-01 19:17:00,60.07,10643.0,India,180.21
517734,P1062,Keyboard,Office,3,2025-01-01 19:19:00,29.36,11918.0,Spain,88.08
508906,P1101,Face Wash,Beauty,4,2025-01-01 19:20:00,59.87,10218.0,Australia,239.48
523264,P1003,Smart Watch,Fashion,7,2025-01-01 19:32:00,103.17,10453.0,Italy,722.19
514008,P1115,Smart Watch,Sports,3,2025-01-01 19:40:00,96.56,12167.0,India,289.68
513093,P1053,Novel,Sports,3,2025-01-01 19:48:00,61.26,12446.0,Spain,183.78
516318,P1036,Desk Lamp,Office,4,2025-01-01 19:59:00,14.28,10011.0,France,57.12
526067,P1046,Moisturizer,Sports,3,2025-01-01 20:09:00,127.5,11518.0,India,382.5
528516,P1037,Water Bottle,Sports,3,2025-01-01 20:18:00,40.09,11455.0,India,120.27
523975,P1012,Pen Set,Electronics,3,2025-01-01 20:37:00,148.94,10366.0,Canada,446.82
516528,P1017,Face Wash,Books,3,2025-01-01 20:45:00,40.18,11054.0,India,120.54
527810,P1111,Board Game,Office,4,2025-01-01 20:56:00,42.46,12354.0,Netherlands,169.84
517808,P1028,Building Blocks,Home & Kitchen,6,2025-01-01 21:07:00,122.1,10116.0,Germany,732.6
528602,P1110,Study Guide,Office,3,2025-01-01 21:12:00,43.78,11191.0,United Kingdom,131.34
503439,P1060,USB Cable,Fashion,3,2025-01-01 21:30:00,65.18,11418.0,India,195.54
520835,P1005,Power Bank,Sports,3,2025-01-01 21:30:00,103.53,11698.0,India,310.59
526433,P1026,Study Guide,Office,2,2025-01-01 21:36:00,33.02,12389.0,United Kingdom,66.04
509094,P1012,Pen Set,Electronics,3,2025-01-01 21:44:00,163.19,11127.0,Italy,489.57
511265,P1070,Yoga Mat,Beauty,1,2025-01-01 21:56:00,70.7,11980.0,India,70.7
508256,P1106,Storage Box,Beauty,3,2025-01-01 21:56:00,11.9,11931.0,Germany,35.7
503694,P1074,Moisturizer,Home & Kitchen,1,2025-01-02 08:01:00,10.23,12373.0,India,10.23
527360,P1003,Smart Watch,Fashion,4,2025-01-02 08:04:00,100.96,11735.0,India,403.84
526265,P1033,Power Bank,Fashion,2,2025-01-02 08:20:00,30.9,12140.0,Australia,61.8
516368,P1035,Wireless Mouse,Books,4,2025-01-02 08:28:00,47.2,11864.0,United Kingdom,188.8
517886,P1009,Water Bottle,Fashion,5,2025-01-02 09:03:00,39.25,10247.0,United Kingdom,196.25
531431,P1081,Novel,Fashion,3,2025-01-02 09:10:00,108.34,10330.0,United Kingdom,325.02
506586,P1080,Bedsheet,Beauty,2,2025-01-02 09:19:00,63.11,12359.0,United Kingdom,126.22
508721,P1011,Notebook,Electronics,5,2025-01-02 09:24:00,64.65,10122.0,United Kingdom,323.25
530997,P1020,Shampoo,Sports,2,2025-01-02 09:32:00,31.58,12252.0,India,63.16
507309,P1055,Board Game,Office,3,2025-01-02 09:54:00,2.48,11979.0,Australia,7.44
531157,P1043,T-Shirt,Toys,3,2025-01-02 10:19:00,5.66,10340.0,Netherlands,16.98
512396,P1070,Yoga Mat,Beauty,8,2025-01-02 10:28:00,61.49,11323.0,Italy,491.92
519182,P1002,Bluetooth Speaker,Home & Kitchen,5,2025-01-02 10:29:00,116.28,10949.0,Germany,581.4
526744,P1081,Novel,Fashion,4,2025-01-02 10:47:00,95.95,12190.0,United Kingdom,383.8
518589,P1074,Moisturizer,Home & Kitchen,1,2025-01-02 11:10:00,9.54,11758.0,United Kingdom,9.54
516104,P1052,Bedsheet,Home & Kitchen,2,2025-01-02 11:13:00,25.84,11477.0,India,51.68
520677,P1099,T-Shirt,Fashion,3,2025-01-02 11:19:00,99.54,11878.0,France,298.62
502059,P1040,Pen Set,Toys,4,2025-01-02 11:32:00,23.68,10565.0,France,94.72
516547,P1038,Backpack,Electronics,3,2025-01-02 11:35:00,42.74,11317.0,United Kingdom,128.22
516128,P1035,Wireless Mouse,Books,2,2025-01-02 11:36:00,45.88,10140.0,United Kingdom,91.76
503315,P1002,Bluetooth Speaker,Home & Kitchen,5,2025-01-02 11:37:00,137.09,11684.0,United Kingdom,685.45
504822,P1002,Bluetooth Speaker,Home & Kitchen,2,2025-01-02 11:59:00,113.77,10958.0,India,227.54
529954,P1061,Power Bank,Home & Kitchen,4,2025-01-02 12:04:00,30.62,10515.0,United Kingdom,122.48
520929,P1032,USB Cable,Home & Kitchen,2,2025-01-02 12:06:00,44.79,10350.0,Spain,89.58
521760,P1010,Backpack,Beauty,3,2025-01-02 12:41:00,69.16,10860.0,United Kingdom,207.48
528005,P1103,Lip Balm,Electronics,3,2025-01-02 12:41:00,68.39,12400.0,Canada,205.17
509939,P1050,Storage Box,Electronics,3,2025-01-02 12:48:00,171.98,10448.0,United Kingdom,515.94
500886,P1047,Lip Balm,Fashion,5,2025-01-02 12:54:00,49.05,10140.0,Canada,245.25
506109,P1058,Bluetooth Speaker,Books,2,2025-01-02 13:17:00,18.51,10249.0,India,37.02
525558,P1020,Shampoo,Sports,5,2025-01-02 13:40:00,33.16,11443.0,India,165.8
509452,P1021,Cookware Set,Sports,2,2025-01-02 13:43:00,119.04,11101.0,India,238.08
509357,P1034,Keyboard,Beauty,3,2025-01-02 13:43:00,48.76,11264.0,India,146.28
511386,P1030,Bluetooth Speaker,Fashion,3,2025-01-02 13:51:00,58.55,10972.0,United Kingdom,175.65
506373,P1064,Desk Lamp,Toys,5,2025-01-02 13:57:00,57.34,10756.0,India,286.7
504547,P1023,Coffee Mug,Electronics,3,2025-01-02 14:26:00,97.02,11841.0,India,291.06
515218,P1045,Face Wash,Beauty,6,2025-01-02 14:31:00,42.07,10847.0,Spain,252.42
505305,P1083,Board Game,Office,4,2025-01-02 14:32:00,41.55,10242.0,India,166.2
528554,P1014,Yoga Mat,Toys,4,2025-01-02 14:35:00,54.38,10815.0,Germany,217.52
529672,P1091,Wireless Mouse,Books,4,2025-01-02 14:37:00,22.93,10938.0,United Kingdom,91.72
500734,P1082,Study Guide,Home & Kitchen,2,2025-01-02 15:14:00,84.98,10322.0,United States,169.96
527705,P1102,Moisturizer,Fashion,3,2025-01-02 15:18:00,66.57,11394.0,France,199.71
509319,P1094,Backpack,Office,4,2025-01-02 15:19:00,55.65,12229.0,United Kingdom,222.6
512230,P1065,Water Bottle,Office,5,2025-01-02 15:24:00,7.02,12319.0,United Kingdom,35.1
504151,P1105,Cookware Set,Office,3,2025-01-02 15:40:00,9.14,10939.0,India,27.42
519042,P1028,Building Blocks,Home & Kitchen,5,2025-01-02 15:43:00,117.69,10453.0,India,588.45
517632,P1020,Shampoo,Sports,3,2025-01-02 15:48:00,26.4,11209.0,United Kingdom,79.2
512568,P1094,Backpack,Office,5,2025-01-02 15:51:00,57.34,10233.0,France,286.7
514743,P1009,Water Bottle,Fashion,2,2025-01-02 15:59:00,40.99,12132.0,Australia,81.98
507769,P1064,Desk Lamp,Toys,2,2025-01-02 16:01:00,65.63,12349.0,France,131.26
520953,P1088,USB Cable,Office,6,2025-01-02 16:06:00,21.5,12382.0,United Kingdom,129.0
503000,P1115,Smart Watch,Sports,4,2025-01-02 16:17:00,100.53,11219.0,Canada,402.12
501360,P1076,Shampoo,Fashion,3,2025-01-02 16:19:00,102.65,12054.0,Canada,307.95
512093,P1062,Keyboard,Office,3,2025-01-02 16:40:00,31.52,11381.0,United Kingdom,94.56
521236,P1044,Jeans,Toys,2,2025-01-02 17:02:00,60.46,10042.0,United Kingdom,120.92
506939,P1083,Board Game,Office,2,2025-01-02 17:02:00,44.44,11225.0,India,88.88
523940,P1018,Moisturizer,Office,1,2025-01-02 17:11:00,50.88,11624.0,United Kingdom,50.88
524790,P1028,Building Blocks,Home & Kitchen,2,2025-01-02 17:22:00,126.26,10786.0,Australia,252.52
509615,P1048,Shampoo,Books,5,2025-01-02 17:40:00,22.93,11745.0,India,114.65
530097,P1067,Notebook,Home & Kitchen,2,2025-01-02 17:56:00,28.92,11950.0,India,57.84
518624,P1026,Study Guide,Office,2,2025-01-02 18:22:00,34.48,11736.0,Germany,68.96
516683,P1049,Cookware Set,Electronics,4,2025-01-02 18:29:00,52.95,11664.0,Canada,211.8
516131,P1052,Bedsheet,Home & Kitchen,3,2025-01-02 18:38:00,25.24,10165.0,India,75.72
518045,P1067,Notebook,Home & Kitchen,3,2025-01-02 18:40:00,25.57,11099.0,France,76.71
514436,P1034,Keyboard,Beauty,3,2025-01-02 19:11:00,55.64,10549.0,India,166.92
526127,P1104,Shampoo,Home & Kitchen,4,2025-01-02 19:23:00,23.99,11665.0,Italy,95.96
526153,P1030,Bluetooth Speaker,Fashion,2,2025-01-02 19:45:00,59.14,11191.0,India,118.28
510241,P1035,Wireless Mouse,Books,6,2025-01-02 19:50:00,47.04,11040.0,India,282.24
531358,P1101,Face Wash,Beauty,2,2025-01-02 19:59:00,53.02,12297.0,Netherlands,106.04
512916,P1022,Storage Box,Office,2,2025-01-02 20:00:00,4.37,11100.0,Netherlands,8.74
505275,P1070,Yoga Mat,Beauty,3,2025-01-02 20:08:00,64.44,12337.0,United States,193.32
528720,P1061,Power Bank,Home & Kitchen,1,2025-01-02 20:56:00,30.84,10115.0,India,30.84
507510,P1096,Pen Set,Beauty,4,2025-01-02 21:20:00,68.83,12425.0,India,275.32
522056,P1117,Power Bank,Beauty,3,2025-01-02 21:22:00,66.99,11482.0,France,200.97
524863,P1066,Backpack,Toys,1,2025-01-02 21:23:00,80.29,11534.0,India,80.29
516571,P1071,T-Shirt,Fashion,5,2025-01-02 21:45:00,27.58,10313.0,Germany,137.9
509254,P1047,Lip Balm,Fashion,1,2025-01-02 21:57:00,54.01,11237.0,United Kingdom,54.01
513197,P1086,Bluetooth Speaker,Books,4,2025-01-03 08:04:00,36.93,10832.0,Germany,147.72
520521,P1074,Moisturizer,Home & Kitchen,4,2025-01-03 08:15:00,10.15,12127.0,United States,40.6
524941,P1025,Novel,Electronics,3,2025-01-03 08:18:00,155.3,10913.0,India,465.9
510453,P1087,Smart Watch,Fashion,3,2025-01-03 08:32:00,21.1,10366.0,United Kingdom,63.3
518561,P1097,Running Shoes,Office,5,2025-01-03 09:12:00,46.07,10132.0,Australia,230.35
523392,P1067,Notebook,Home & Kitchen,8,2025-01-03 09:15:00,29.07,10107.0,India,232.56
523589,P1092,Desk Lamp,Books,5,2025-01-03 09:32:00,34.63,12322.0,India,173.15
512062,P1110,Study Guide,Office,3,2025-01-03 09:42:00,39.21,10113.0,United Kingdom,117.63
525432,P1093,Water Bottle,Sports,2,2025-01-03 09:45:00,125.48,10994.0,Netherlands,250.96
501020,P1004,USB Cable,Electronics,3,2025-01-03 09:50:00,77.49,10628.0,United Kingdom,232.47
518113,P1118,Keyboard,Fashion,2,2025-01-03 09:51:00,103.08,10763.0,Spain,206.16
500597,P1065,Water Bottle,Office,3,2025-01-03 09:59:00,7.73,11048.0,India,23.19
522898,P1080,Bedsheet,Beauty,3,2025-01-03 10:01:00,61.99,10245.0,United Kingdom,185.97
512916,P1066,Backpack,Toys,2,2025-01-03 10:02:00,89.72,11245.0,Netherlands,179.44
507066,P1065,Water Bottle,Office,3,2025-01-03 10:12:00,7.24,12250.0,United Kingdom,21.72
500501,P1072,Jeans,Beauty,1,2025-01-03 10:14:00,15.97,10431.0,Netherlands,15.97
520700,P1020,Shampoo,Sports,3,2025-01-03 10:34:00,28.63,11141.0,India,85.89
528325,P1033,Power Bank,Fashion,1,2025-01-03 10:35:00,26.85,11208.0,United Kingdom,26.85
511882,P1086,Bluetooth Speaker,Books,1,2025-01-03 11:16:00,42.75,10211.0,United Kingdom,42.75
526967,P1009,Water Bottle,Fashion,1,2025-01-03 11:19:00,40.87,10776.0,France,40.87
514676,P1072,Jeans,Beauty,6,2025-01-03 11:21:00,18.71,11274.0,India,112.26
513715,P1105,Cookware Set,Office,3,2025-01-03 11:38:00,8.12,12476.0,United Kingdom,24.36
500413,P1088,USB Cable,Office,1,2025-01-03 11:53:00,21.21,10481.0,United States,21.21
509599,P1103,Lip Balm,Electronics,3,2025-01-03 11:57:00,72.29,11364.0,India,216.87
502489,P1013,Running Shoes,Sports,4,2025-01-03 11:59:00,38.0,10729.0,United Kingdom,152.0
510698,P1044,Jeans,Toys,1,2025-01-03 12:18:00,57.32,12069.0,France,57.32
521272,P1055,Board Game,Office,1,2025-01-03 12:20:00,2.21,10819.0,Italy,2.21
510942,P1016,Jeans,Fashion,2,2025-01-03 12:22:00,46.76,10847.0,India,93.52
521438,P1099,T-Shirt,Fashion,2,2025-01-03 12:24:00,83.43,11268.0,Netherlands,166.86
511314,P1114,Bluetooth Speaker,Fashion,4,2025-01-03 12:28:00,52.92,11509.0,India,211.68
526430,P1087,Smart Watch,Fashion,1,2025-01-03 12:29:00,16.29,10934.0,India,16.29
508950,P1100,Jeans,Toys,3,2025-01-03 12:33:00,39.17,10659.0,India,117.51
519619,P1022,Storage Box,Office,1,2025-01-03 12:45:00,4.39,12481.0,Canada,4.39
500311,P1112,Building Blocks,Electronics,3,2025-01-03 12:45:00,124.89,11969.0,United Kingdom,374.67
522379,P1075,Lip Balm,Electronics,3,2025-01-03 13:00:00,59.49,12180.0,India,178.47
518416,P1066,Backpack,Toys,4,2025-01-03 13:09:00,79.27,11066.0,United Kingdom,317.08
508259,P1110,Study Guide,Office,3,2025-01-03 13:21:00,48.79,10578.0,Netherlands,146.37
519082,P1115,Smart Watch,Sports,3,2025-01-03 13:22:00,122.81,11638.0,India,368.43
524990,P1008,Desk Lamp,Fashion,2,2025-01-03 13:52:00,64.32,12307.0,India,128.64
504228,P1089,Power Bank,Home & Kitchen,2,2025-01-03 14:14:00,15.89,10917.0,Netherlands,31.78
520737,P1069,Running Shoes,Fashion,2,2025-01-03 14:41:00,45.6,10444.0,Italy,91.2
518109,P1014,Yoga Mat,Toys,1,2025-01-03 14:47:00,44.86,10480.0,United Kingdom,44.86
502993,P1076,Shampoo,Fashion,3,2025-01-03 14:54:00,102.22,11447.0,India,306.66
506471,P1063,Wireless Mouse,Office,6,2025-01-03 15:11:00,43.26,10446.0,United Kingdom,259.56
505890,P1056,Building Blocks,Office,2,2025-01-03 15:37:00,19.14,11835.0,Canada,38.28
518307,P1039,Notebook,Home & Kitchen,4,2025-01-03 15:41:00,144.77,10507.0,Germany,579.08
507876,P1068,Pen Set,Toys,5,2025-01-03 15:42:00,71.93,10754.0,Germany,359.65
526569,P1013,Running Shoes,Sports,2,2025-01-03 15:42:00,37.51,11827.0,India,75.02
500937,P1109,Novel,Fashion,3,2025-01-03 15:46:00,33.88,11029.0,United Kingdom,101.64
521728,P1111,Board Game,Office,2,2025-01-03 16:02:00,42.0,10456.0,India,84.0
507183,P1113,Wireless Headphones,Fashion,3,2025-01-03 16:07:00,113.48,10994.0,Canada,340.44
502964,P1022,Storage Box,Office,3,2025-01-03 16:09:00,4.08,12138.0,India,12.24
509911,P1099,T-Shirt,Fashion,4,2025-01-03 16:15:00,95.01,11812.0,United Kingdom,380.04
508740,P1043,T-Shirt,Toys,3,2025-01-03 16:18:00,5.61,11060.0,India,16.83
521788,P1045,Face Wash,Beauty,6,2025-01-03 16:21:00,42.45,10843.0,Germany,254.7
507475,P1119,Wireless Mouse,Fashion,6,2025-01-03 16:25:00,99.89,11633.0,Canada,599.34
503058,P1009,Water Bottle,Fashion,2,2025-01-03 16:32:00,41.1,12054.0,United Kingdom,82.2
501024,P1049,Cookware Set,Electronics,2,2025-01-03 16:33:00,48.05,11617.0,United Kingdom,96.1
529588,P1112,Building Blocks,Electronics,3,2025-01-03 16:42:00,109.99,12434.0,India,329.97
509003,P1078,Storage Box,Sports,1,2025-01-03 16:45:00,19.25,11642.0,Netherlands,19.25
504645,P1097,Running Shoes,Office,3,2025-01-03 16:51:00,53.78,10737.0,Germany,161.34
527883,P1014,Yoga Mat,Toys,1,2025-01-03 17:25:00,57.18,10620.0,United States,57.18
503488,P1031,Smart Watch,Beauty,5,2025-01-03 17:28:00,61.92,11539.0,Canada,309.6
516400,P1114,Bluetooth Speaker,Fashion,5,2025-01-03 17:40:00,49.34,11878.0,Netherlands,246.7
521328,P1015,T-Shirt,Electronics,4,2025-01-03 17:41:00,203.93,10761.0,India,815.72
515318,P1047,Lip Balm,Fashion,1,2025-01-03 17:55:00,45.68,11412.0,Italy,45.68
521667,P1029,Wireless Headphones,Electronics,1,2025-01-03 17:56:00,142.44,12381.0,United Kingdom,142.44
506245,P1003,Smart Watch,Fashion,2,2025-01-03 17:57:00,93.62,12318.0,United States,187.24
515884,P1068,Pen Set,Toys,3,2025-01-03 18:14:00,77.57,10023.0,India,232.71
530218,P1018,Moisturizer,Office,3,2025-01-03 18:27:00,56.83,11193.0,India,170.49
510558,P1062,Keyboard,Office,1,2025-01-03 18:34:00,27.36,12051.0,Netherlands,27.36
506267,P1014,Yoga Mat,Toys,1,2025-01-03 18:39:00,47.48,11002.0,Germany,47.48
528675,P1106,Storage Box,Beauty,2,2025-01-03 18:39:00,11.58,10409.0,India,23.16
524837,P1092,Desk Lamp,Books,1,2025-01-03 18:40:00,33.82,10731.0,India,33.82
518646,P1114,Bluetooth Speaker,Fashion,2,2025-01-03 18:42:00,55.41,11346.0,India,110.82
515298,P1004,USB Cable,Electronics,2,2025-01-03 18:50:00,86.34,10776.0,United Kingdom,172.68
500297,P1011,Notebook,Electronics,4,2025-01-03 19:00:00,62.8,12417.0,India,251.2
524146,P1079,Coffee Mug,Fashion,3,2025-01-03 19:21:00,117.39,11044.0,United Kingdom,352.17
512876,P1071,T-Shirt,Fashion,2,2025-01-03 19:23:00,32.91,12423.0,Germany,65.82
512209,P1032,USB Cable,Home & Kitchen,2,2025-01-03 19:43:00,38.68,11268.0,Netherlands,77.36
511660,P1088,USB Cable,Office,2,2025-01-03 19:56:00,19.51,10411.0,India,39.02
515817,P1086,Bluetooth Speaker,Books,4,2025-01-03 20:14:00,43.53,11950.0,Spain,174.12
516197,P1015,T-Shirt,Electronics,2,2025-01-03 20:22:00,208.49,11366.0,Australia,416.98
511695,P1114,Bluetooth Speaker,Fashion,6,2025-01-03 20:27:00,53.05,12478.0,Canada,318.3
520080,P1003,Smart Watch,Fashion,5,2025-01-03 20:27:00,88.16,12359.0,Australia,440.8
519914,P1053,Novel,Sports,3,2025-01-03 21:11:00,56.11,12423.0,France,168.33
509941,P1002,Bluetooth Speaker,Home & Kitchen,2,2025-01-03 21:27:00,125.89,10050.0,Italy,251.78
514426,P1051,Coffee Mug,Sports,4,2025-01-03 21:27:00,113.38,11671.0,United Kingdom,453.52
511056,P1044,Jeans,Toys,3,2025-01-03 21:37:00,55.73,10619.0,India,167.19
529384,P1052,Bedsheet,Home & Kitchen,3,2025-01-03 21:38:00,27.5,11942.0,India,82.5
504770,P1035,Wireless Mouse,Books,3,2025-01-03 21:47:00,43.83,10111.0,Canada,131.49
500847,P1091,Wireless Mouse,Books,2,2025-01-04 08:14:00,23.68,10194.0,United Kingdom,47.36
529236,P1107,Coffee Mug,Beauty,4,2025-01-04 08:21:00,51.94,12317.0,India,207.76
506245,P1073,Face Wash,Home & Kitchen,2,2025-01-04 08:21:00,75.11,10523.0,United Kingdom,150.22
520532,P1106,Storage Box,Beauty,4,2025-01-04 08:49:00,10.57,10349.0,Australia,42.28
525609,P1041,Running Shoes,Electronics,2,2025-01-04 08:53:00,109.45,12469.0,United Kingdom,218.9
525911,P1051,Coffee Mug,Sports,4,2025-01-04 09:22:00,108.15,11780.0,Germany,432.6
528568,P1050,Storage Box,Electronics,3,2025-01-04 09:29:00,173.68,12295.0,Germany,521.04
519064,P1070,Yoga Mat,Beauty,3,2025-01-04 09:42:00,63.02,10139.0,France,189.06
503634,P1013,Running Shoes,Sports,2,2025-01-04 09:42:00,41.2,12365.0,Spain,82.4
508689,P1051,Coffee Mug,Sports,2,2025-01-04 09:53:00,123.97,12296.0,United States,247.94
525243,P1113,Wireless Headphones,Fashion,4,2025-01-04 10:12:00,101.07,10075.0,India,404.28
503297,P1011,Notebook,Electronics,2,2025-01-04 10:14:00,66.7,11868.0,India,133.4
519574,P1101,Face Wash,Beauty,3,2025-01-04 10:24:00,53.86,10703.0,India,161.58
505565,P1088,USB Cable,Office,3,2025-01-04 10:39:00,18.52,12337.0,India,55.56
505314,P1017,Face Wash,Books,5,2025-01-04 10:44:00,39.37,11147.0,Australia,196.85
517435,P1010,Backpack,Beauty,7,2025-01-04 11:00:00,59.97,12022.0,France,419.79
526060,P1080,Bedsheet,Beauty,3,2025-01-04 11:03:00,64.19,12259.0,India,192.57
