CustomerID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Segment
10052.0,47,23,5546.2699999999995,2,4,4,244,At Risk
10053.0,230,3,1401.77,1,1,2,112,Lost Customers
10054.0,96,10,1905.78,1,2,2,122,Lost Customers
10055.0,84,12,1910.27,1,2,2,122,Lost Customers
10056.0,8,9,1401.28,4,2,2,422,Potential Loyalists
10057.0,26,13,2918.11,3,3,3,333,Potential Loyalists
10058.0,9,61,13108.94,4,5,5,455,Champions
10059.0,81,7,1007.28,1,1,1,111,Lost Customers
10060.0,15,33,4269.38,4,5,4,454,Champions
10061.0,14,4,456.74999999999994,4,1,1,411,Potential Loyalists
10062.0,15,11,2160.08,4,2,2,422,Potential Loyalists
10063.0,8,15,2866.19,4,3,3,433,Potential Loyalists
10064.0,18,32,5542.7,4,5,4,454,Champions
10065.0,11,23,4537.04,4,4,4,444,Champions
10066.0,17,26,4618.7,4,4,4,444,Champions
10067.0,13,14,3857.73,4,3,4,434,Big Spenders
10068.0,73,11,2000.52,2,2,2,222,Lost Customers
10069.0,5,24,4007.39,5,4,4,544,Champions
10070.0,164,8,2188.52,1,2,2,122,Lost Customers
10071.0,189,1,184.08,1,1,1,111,Lost Customers
10072.0,9,8,2638.02,4,2,3,423,Potential Loyalists
10073.0,250,5,632.37,1,1,1,111,Lost Customers
10074.0,16,20,3136.44,4,4,3,443,Loyal Customers
10075.0,51,18,5612.96,2,3,5,235,At Risk
10076.0,16,25,3330.65,4,4,3,443,Loyal Customers
10077.0,109,10,2326.0299999999997,1,2,3,123,Potential Loyalists
10078.0,19,16,3940.7,4,3,4,434,Big Spenders
10079.0,35,25,4112.67,3,4,4,344,Loyal Customers
10080.0,260,5,1849.91,1,1,2,112,Lost Customers
10081.0,29,23,5218.94,3,4,4,344,Loyal Customers
10082.0,116,11,1806.44,1,2,2,122,Lost Customers
10083.0,17,13,2661.2599999999998,4,3,3,433,Potential Loyalists
10084.0,22,9,3524.25,3,2,4,324,Potential Loyalists
10085.0,41,8,1897.8899999999999,2,2,2,222,Lost Customers
10086.0,14,15,3046.27,4,3,3,433,Potential Loyalists
10087.0,26,11,2188.16,3,2,2,322,Potential Loyalists
10088.0,3,22,3729.59,5,4,4,544,Champions
10089.0,5,24,4896.03,5,4,4,544,Champions
10090.0,10,16,3229.4,4,3,3,433,Potential Loyalists
10091.0,124,23,4474.21,1,4,4,144,At Risk
10092.0,3,16,3701.66,5,3,4,534,Big Spenders
10093.0,56,5,1063.96,2,1,1,211,Lost Customers
10094.0,39,13,2155.09,2,3,2,232,At Risk
10095.0,188,2,354.47999999999996,1,1,1,111,Lost Customers
10096.0,100,4,783.9,1,1,1,111,Lost Customers
10097.0,152,7,1084.69,1,1,1,111,Lost Customers
10098.0,210,7,1888.27,1,1,2,112,Lost Customers
10099.0,2,24,3847.77,5,4,4,544,Champions
10100.0,171,9,1425.3700000000001,1,2,2,122,Lost Customers
10101.0,2,13,1454.8600000000001,5,3,2,532,Potential Loyalists
10102.0,16,53,11905.32,4,5,5,455,Champions
10103.0,66,11,2252.12,2,2,2,222,Lost Customers
10104.0,10,19,4704.66,4,4,4,444,Champions
10105.0,163,6,729.04,1,1,1,111,Lost Customers
10106.0,52,15,2814.87,2,3,3,233,At Risk
10107.0,6,8,2024.28,5,2,2,522,Potential Loyalists
10108.0,71,11,1387.8899999999999,2,2,2,222,Lost Customers
10109.0,54,30,6127.34,2,5,5,255,At Risk
10110.0,77,5,598.5899999999999,2,1,1,211,Lost Customers
10111.0,30,20,4464.76,3,4,4,344,Loyal Customers
10112.0,23,15,2716.61,3,3,3,333,Potential Loyalists
10113.0,39,11,1140.14,2,2,1,221,Lost Customers
10114.0,81,4,635.55,1,1,1,111,Lost Customers
10115.0,8,16,3265.43,4,3,3,433,Potential Loyalists
10116.0,7,11,2765.19,5,2,3,523,Potential Loyalists
10117.0,28,14,2644.0,3,3,3,333,Potential Loyalists
10118.0,91,14,3186.93,1,3,3,133,At Risk
10119.0,8,58,10402.11,4,5,5,455,Champions
10120.0,24,13,3117.91,3,3,3,333,Potential Loyalists
10121.0,29,10,1734.18,3,2,2,322,Potential Loyalists
10122.0,7,18,3003.51,5,3,3,533,Potential Loyalists
10123.0,8,26,4721.2300000000005,4,4,4,444,Champions
10124.0,20,40,8675.49,3,5,5,355,Loyal Customers
10125.0,15,35,7385.17,4,5,5,455,Champions
10126.0,1,22,4718.58,5,4,4,544,Champions
10127.0,8,47,12099.54,4,5,5,455,Champions
10128.0,48,5,676.79,2,1,1,211,Lost Customers
10129.0,66,7,1345.22,2,1,2,212,Lost Customers
10130.0,25,8,699.8199999999999,3,2,1,321,Potential Loyalists
10131.0,56,10,1413.29,2,2,2,222,Lost Customers
10132.0,28,5,1692.27,3,1,2,312,Potential Loyalists
10133.0,36,21,4412.92,3,4,4,344,Loyal Customers
10134.0,12,7,1634.13,4,1,2,412,Potential Loyalists
10135.0,9,5,332.96,4,1,1,411,Potential Loyalists
10136.0,67,5,1082.46,2,1,1,211,Lost Customers
10137.0,54,19,4416.55,2,4,4,244,At Risk
10138.0,9,32,6136.599999999999,4,5,5,455,Champions
10139.0,13,63,12798.22,4,5,5,455,Champions
10140.0,3,147,28597.92,5,5,5,555,Champions
10141.0,11,25,3773.86,4,4,4,444,Champions
10142.0,111,7,1174.79,1,1,1,111,Lost Customers
10143.0,44,2,292.0,2,1,1,211,Lost Customers
10144.0,2,12,1655.57,5,2,2,522,Potential Loyalists
10145.0,40,8,1286.47,2,2,1,221,Lost Customers
10146.0,28,13,2198.4700000000003,3,3,2,332,Potential Loyalists
10147.0,39,12,1964.16,2,2,2,222,Lost Customers
10148.0,8,12,2417.88,4,2,3,423,Potential Loyalists
10149.0,2,37,6653.76,5,5,5,555,Champions
10150.0,12,9,1662.37,4,2,2,422,Potential Loyalists
10151.0,3,14,2232.89,5,3,2,532,Potential Loyalists
10152.0,303,2,116.44,1,1,1,111,Lost Customers
10153.0,165,6,1153.1399999999999,1,1,1,111,Lost Customers
10154.0,44,9,1582.8000000000002,2,2,2,222,Lost Customers
10155.0,123,10,2053.79,1,2,2,122,Lost Customers
10156.0,8,50,9085.6,4,5,5,455,Champions
10157.0,19,10,1438.1000000000001,4,2,2,422,Potential Loyalists
10158.0,13,34,5677.13,4,5,5,455,Champions
10159.0,11,12,2136.22,4,2,2,422,Potential Loyalists
10160.0,33,7,1945.93,3,1,2,312,Potential Loyalists
10161.0,10,2,214.09,4,1,1,411,Potential Loyalists
10162.0,39,8,1536.18,2,2,2,222,Lost Customers
10163.0,1,70,16033.48,5,5,5,555,Champions
10164.0,47,9,1988.04,2,2,2,222,Lost Customers
10165.0,5,24,3416.3,5,4,3,543,Loyal Customers
10166.0,49,6,1969.3200000000002,2,1,2,212,Lost Customers
10167.0,53,15,4315.79,2,3,4,234,At Risk
10168.0,20,20,3959.54,3,4,4,344,Loyal Customers
10169.0,35,13,3468.26,3,3,4,334,Potential Loyalists
10170.0,8,14,2863.79,4,3,3,433,Potential Loyalists
10171.0,40,10,1917.75,2,2,2,222,Lost Customers
10172.0,1,22,4622.09,5,4,4,544,Champions
10173.0,127,7,1222.1100000000001,1,1,1,111,Lost Customers
10174.0,379,2,524.7,1,1,1,111,Lost Customers
10175.0,49,9,2152.58,2,2,2,222,Lost Customers
10176.0,29,18,3983.97,3,3,4,334,Potential Loyalists
10177.0,31,45,7800.5,3,5,5,355,Loyal Customers
10178.0,55,16,2881.35,2,3,3,233,At Risk
10179.0,25,11,2512.48,3,2,3,323,Potential Loyalists
10180.0,5,7,1671.6599999999999,5,1,2,512,Potential Loyalists
10181.0,38,42,8616.49,3,5,5,355,Loyal Customers
10182.0,74,17,2910.3,2,3,3,233,At Risk
10183.0,7,15,3288.35,5,3,3,533,Potential Loyalists
10184.0,23,38,7853.19,3,5,5,355,Loyal Customers
10185.0,6,20,3455.66,5,4,4,544,Champions
10186.0,31,44,9457.56,3,5,5,355,Loyal Customers
10187.0,24,13,2242.15,3,3,2,332,Potential Loyalists
10188.0,102,5,1487.5900000000001,1,1,2,112,Lost Customers
10189.0,111,4,445.59000000000003,1,1,1,111,Lost Customers
10190.0,6,49,7784.24,5,5,5,555,Champions
10191.0,12,61,11671.4,4,5,5,455,Champions
10192.0,28,9,2467.8,3,2,3,323,Potential Loyalists
10193.0,68,12,2273.8,2,2,2,222,Lost Customers
10194.0,2,47,9602.12,5,5,5,555,Champions
10195.0,124,6,1014.27,1,1,1,111,Lost Customers
10196.0,193,4,755.71,1,1,1,111,Lost Customers
10197.0,5,26,4090.54,5,4,4,544,Champions
10198.0,2,10,2148.2,5,2,2,522,Potential Loyalists
10199.0,21,12,1793.81,3,2,2,322,Potential Loyalists
10200.0,6,14,1851.08,5,3,2,532,Potential Loyalists
10201.0,12,19,3403.12,4,4,3,443,Loyal Customers
10202.0,19,44,8499.44,4,5,5,455,Champions
10203.0,17,14,2844.65,4,3,3,433,Potential Loyalists
10204.0,31,36,6800.72,3,5,5,355,Loyal Customers
10205.0,42,3,446.75,2,1,1,211,Lost Customers
10206.0,22,18,4243.61,3,3,4,334,Potential Loyalists
10207.0,2,7,1398.41,5,1,2,512,Potential Loyalists
10208.0,26,7,1045.51,3,1,1,311,Potential Loyalists
10209.0,10,8,2862.75,4,2,3,423,Potential Loyalists
10210.0,1,13,2496.3,5,3,3,533,Potential Loyalists
10211.0,32,22,5167.21,3,4,4,344,Loyal Customers
10212.0,31,5,1395.09,3,1,2,312,Potential Loyalists
10213.0,5,22,3643.82,5,4,4,544,Champions
10214.0,32,7,1238.82,3,1,1,311,Potential Loyalists
10215.0,6,13,3346.17,5,3,3,533,Potential Loyalists
10216.0,8,34,7197.02,4,5,5,455,Champions
10217.0,39,26,4292.0,2,4,4,244,At Risk
10218.0,22,37,7032.11,3,5,5,355,Loyal Customers
10219.0,25,10,1887.95,3,2,2,322,Potential Loyalists
10220.0,50,10,2205.48,2,2,2,222,Lost Customers
10221.0,17,14,2663.83,4,3,3,433,Potential Loyalists
10222.0,8,18,3416.61,4,3,3,433,Potential Loyalists
10223.0,69,12,3039.6,2,2,3,223,Potential Loyalists
10224.0,68,5,740.79,2,1,1,211,Lost Customers
10225.0,27,20,3894.1099999999997,3,4,4,344,Loyal Customers
10226.0,4,28,5494.87,5,4,4,544,Champions
10227.0,1,99,18898.32,5,5,5,555,Champions
10228.0,16,62,12468.28,4,5,5,455,Champions
10229.0,20,9,2494.89,3,2,3,323,Potential Loyalists
10230.0,49,14,1774.8799999999999,2,3,2,232,At Risk
10231.0,192,4,1201.6200000000001,1,1,1,111,Lost Customers
10232.0,65,12,1676.98,2,2,2,222,Lost Customers
10233.0,57,21,3699.57,2,4,4,244,At Risk
10234.0,7,45,10174.75,5,5,5,555,Champions
10235.0,8,16,2920.02,4,3,3,433,Potential Loyalists
10236.0,29,5,1221.53,3,1,1,311,Potential Loyalists
10237.0,130,4,665.3100000000001,1,1,1,111,Lost Customers
10238.0,65,9,2328.77,2,2,3,223,Potential Loyalists
10239.0,19,6,1834.6,4,1,2,412,Potential Loyalists
10240.0,6,13,2193.17,5,3,2,532,Potential Loyalists
10241.0,110,7,1488.02,1,1,2,112,Lost Customers
10242.0,69,11,1930.21,2,2,2,222,Lost Customers
10243.0,119,4,340.29999999999995,1,1,1,111,Lost Customers
10244.0,17,5,1304.05,4,1,1,411,Potential Loyalists
10245.0,8,70,12848.07,4,5,5,455,Champions
10246.0,14,7,738.02,4,1,1,411,Potential Loyalists
10247.0,31,4,611.19,3,1,1,311,Potential Loyalists
10248.0,3,51,11069.630000000001,5,5,5,555,Champions
10249.0,7,139,31038.85,5,5,5,555,Champions
10250.0,1,8,889.3199999999999,5,2,1,521,Potential Loyalists
10251.0,34,13,1919.2,3,3,2,332,Potential Loyalists
10252.0,37,16,2920.9900000000002,3,3,3,333,Potential Loyalists
10253.0,13,56,11725.11,4,5,5,455,Champions
10254.0,91,4,565.54,1,1,1,111,Lost Customers
10255.0,62,6,1544.58,2,1,2,212,Lost Customers
10256.0,10,33,7174.0599999999995,4,5,5,455,Champions
10257.0,24,25,6886.64,3,4,5,345,Loyal Customers
10258.0,72,8,1183.06,2,2,1,221,Lost Customers
10259.0,5,13,1698.75,5,3,2,532,Potential Loyalists
10260.0,56,9,3338.3,2,2,3,223,Potential Loyalists
10261.0,1,7,1731.73,5,1,2,512,Potential Loyalists
10262.0,2,11,2077.64,5,2,2,522,Potential Loyalists
10263.0,35,29,5521.93,3,5,4,354,Loyal Customers
10264.0,27,8,1465.45,3,2,2,322,Potential Loyalists
10265.0,37,21,3950.27,3,4,4,344,Loyal Customers
10266.0,42,29,5257.07,2,5,4,254,At Risk
10267.0,31,12,2142.27,3,3,2,332,Potential Loyalists
10268.0,17,18,2467.5,4,3,3,433,Potential Loyalists
10269.0,16,10,3315.18,4,2,3,423,Potential Loyalists
10270.0,4,16,2946.98,5,3,3,533,Potential Loyalists
10271.0,44,8,2191.2999999999997,2,2,2,222,Lost Customers
10272.0,1,28,5950.5599999999995,5,4,5,545,Champions
10273.0,80,9,1720.02,1,2,2,122,Lost Customers
10274.0,3,86,16211.6,5,5,5,555,Champions
10275.0,8,53,10898.69,4,5,5,455,Champions
10276.0,20,18,2426.19,3,3,3,333,Potential Loyalists
10277.0,25,7,2801.63,3,1,3,313,Potential Loyalists
10278.0,18,6,1672.35,4,1,2,412,Potential Loyalists
10279.0,6,38,9118.86,5,5,5,555,Champions
10280.0,45,26,3840.11,2,4,4,244,At Risk
10281.0,18,13,1890.19,4,3,2,432,Potential Loyalists
10283.0,10,33,5412.49,4,5,4,454,Champions
10284.0,22,21,3856.65,3,4,4,344,Loyal Customers
10285.0,128,4,989.52,1,1,1,111,Lost Customers
10286.0,6,13,3356.46,5,3,3,533,Potential Loyalists
10287.0,23,19,3964.93,3,4,4,344,Loyal Customers
10288.0,24,10,3147.08,3,2,3,323,Potential Loyalists
10289.0,33,6,1044.51,3,1,1,311,Potential Loyalists
10290.0,1,15,2804.94,5,3,3,533,Potential Loyalists
10291.0,13,14,3413.3199999999997,4,3,3,433,Potential Loyalists
10292.0,59,22,4100.82,2,4,4,244,At Risk
10293.0,42,43,9859.92,2,5,5,255,At Risk
10294.0,233,2,1074.15,1,1,1,111,Lost Customers
10295.0,7,15,3046.6800000000003,5,3,3,533,Potential Loyalists
10296.0,149,18,2958.63,1,3,3,133,At Risk
10297.0,15,16,2299.94,4,3,3,433,Potential Loyalists
10298.0,1,11,2605.68,5,2,3,523,Potential Loyalists
10299.0,200,4,1170.92,1,1,1,111,Lost Customers
10300.0,1,22,4211.76,5,4,4,544,Champions
10301.0,2,50,11219.74,5,5,5,555,Champions
10302.0,460,2,594.87,1,1,1,111,Lost Customers
10303.0,31,22,6192.44,3,4,5,345,Loyal Customers
10304.0,44,6,1716.78,2,1,2,212,Lost Customers
10305.0,35,13,2250.25,3,3,2,332,Potential Loyalists
10306.0,126,3,282.52,1,1,1,111,Lost Customers
10307.0,24,13,2769.87,3,3,3,333,Potential Loyalists
10308.0,11,43,11766.48,4,5,5,455,Champions
10309.0,13,15,2463.35,4,3,3,433,Potential Loyalists
10310.0,28,67,12188.15,3,5,5,355,Loyal Customers
10311.0,5,36,6391.73,5,5,5,555,Champions
10312.0,3,25,4849.67,5,4,4,544,Champions
10313.0,1,50,9366.39,5,5,5,555,Champions
10314.0,86,21,4660.03,1,4,4,144,At Risk
10315.0,20,29,5923.18,3,5,5,355,Loyal Customers
10316.0,23,20,5273.5,3,4,4,344,Loyal Customers
10317.0,76,11,3574.91,2,2,4,224,Potential Loyalists
10318.0,16,7,1443.48,4,1,2,412,Potential Loyalists
10319.0,5,24,5115.96,5,4,4,544,Champions
10320.0,78,8,1539.27,1,2,2,122,Lost Customers
10321.0,39,28,6166.88,2,5,5,255,At Risk
10322.0,40,19,3613.75,2,4,4,244,At Risk
10323.0,10,41,10994.26,4,5,5,455,Champions
10324.0,43,17,3104.25,2,3,3,233,At Risk
10325.0,4,56,11267.08,5,5,5,555,Champions
10326.0,9,19,2900.61,4,4,3,443,Loyal Customers
10327.0,243,1,75.54,1,1,1,111,Lost Customers
10328.0,38,7,882.1,3,1,1,311,Potential Loyalists
10329.0,93,8,1322.46,1,2,2,122,Lost Customers
10330.0,94,6,1102.58,1,1,1,111,Lost Customers
10331.0,18,62,11218.2,4,5,5,455,Champions
10332.0,12,29,5817.57,4,5,5,455,Champions
10333.0,49,13,3070.9900000000002,2,3,3,233,At Risk
10334.0,244,4,480.46,1,1,1,111,Lost Customers
10335.0,105,11,2778.27,1,2,3,123,Potential Loyalists
10336.0,23,4,1309.17,3,1,2,312,Potential Loyalists
10337.0,69,16,3424.25,2,3,3,233,At Risk
10338.0,117,11,1561.61,1,2,2,122,Lost Customers
10339.0,4,35,8777.35,5,5,5,555,Champions
10340.0,1,28,4649.360000000001,5,5,4,554,Champions
10341.0,9,3,478.26,4,1,1,411,Potential Loyalists
10342.0,21,18,3174.33,3,3,3,333,Potential Loyalists
10343.0,31,13,2099.4,3,3,2,332,Potential Loyalists
10344.0,10,19,3276.52,4,4,3,443,Loyal Customers
10345.0,4,49,10283.81,5,5,5,555,Champions
10346.0,17,3,362.17999999999995,4,1,1,411,Potential Loyalists
10347.0,185,9,1498.2,1,2,2,122,Lost Customers
10348.0,17,23,4697.52,4,4,4,444,Champions
10349.0,52,8,916.41,2,2,1,221,Lost Customers
10350.0,11,45,9472.22,4,5,5,455,Champions
10351.0,41,16,2947.99,2,3,3,233,At Risk
10352.0,1,19,3880.14,5,4,4,544,Champions
10353.0,111,8,1661.44,1,2,2,122,Lost Customers
10354.0,13,28,5905.57,4,5,5,455,Champions
10355.0,5,42,8591.02,5,5,5,555,Champions
10356.0,47,23,4625.59,2,4,4,244,At Risk
10357.0,28,13,4057.91,3,3,4,334,Potential Loyalists
10358.0,36,21,3732.17,3,4,4,344,Loyal Customers
10359.0,115,4,1238.3200000000002,1,1,1,111,Lost Customers
10360.0,43,10,1169.06,2,2,1,221,Lost Customers
10361.0,86,11,2026.9,1,2,2,122,Lost Customers
10362.0,2,18,2615.14,5,3,3,533,Potential Loyalists
10363.0,61,27,4273.57,2,4,4,244,At Risk
10364.0,28,5,671.75,3,1,1,311,Potential Loyalists
10365.0,30,14,2429.06,3,3,3,333,Potential Loyalists
10366.0,12,47,9479.75,4,5,5,455,Champions
10367.0,10,7,2673.41,4,1,3,413,Potential Loyalists
10368.0,54,9,2644.7,2,2,3,223,Potential Loyalists
10369.0,42,18,2736.5,2,4,3,243,At Risk
10370.0,21,24,4662.08,3,4,4,344,Loyal Customers
10371.0,52,15,3908.4500000000003,2,3,4,234,At Risk
10372.0,8,41,7119.530000000001,4,5,5,455,Champions
10373.0,25,35,7357.37,3,5,5,355,Loyal Customers
10374.0,14,22,4470.36,4,4,4,444,Champions
10375.0,7,22,4406.7,5,4,4,544,Champions
10376.0,7,106,17915.3,5,5,5,555,Champions
10377.0,24,14,2957.29,3,3,3,333,Potential Loyalists
10378.0,43,5,449.85,2,1,1,211,Lost Customers
10379.0,4,59,10409.11,5,5,5,555,Champions
10380.0,77,9,2811.69,2,2,3,223,Potential Loyalists
10381.0,74,18,4990.509999999999,2,4,4,244,At Risk
10382.0,21,37,7189.37,3,5,5,355,Loyal Customers
10383.0,122,3,746.45,1,1,1,111,Lost Customers
10384.0,246,2,453.75,1,1,1,111,Lost Customers
10385.0,62,6,936.96,2,1,1,211,Lost Customers
10386.0,79,10,2176.52,1,2,2,122,Lost Customers
10387.0,10,12,1629.06,4,3,2,432,Potential Loyalists
10388.0,17,23,3930.0099999999998,4,4,4,444,Champions
10389.0,43,23,5349.57,2,4,4,244,At Risk
10390.0,9,4,546.13,4,1,1,411,Potential Loyalists
10391.0,553,1,57.18,1,1,1,111,Lost Customers
10392.0,6,19,3067.39,5,4,3,543,Loyal Customers
10393.0,93,10,2377.23,1,2,3,123,Potential Loyalists
10394.0,65,17,3603.37,2,3,4,234,At Risk
10395.0,2,29,7443.68,5,5,5,555,Champions
10396.0,85,11,1495.26,1,2,2,122,Lost Customers
10397.0,23,32,6485.2,3,5,5,355,Loyal Customers
10398.0,3,20,4442.0,5,4,4,544,Champions
10399.0,3,21,5329.7300000000005,5,4,4,544,Champions
10400.0,22,13,3202.94,3,3,3,333,Potential Loyalists
10401.0,79,12,2215.54,1,3,2,132,At Risk
10402.0,5,16,2685.3,5,3,3,533,Potential Loyalists
10403.0,93,27,6655.31,1,4,5,145,At Risk
10404.0,74,13,2831.95,2,3,3,233,At Risk
10405.0,46,25,4877.87,2,4,4,244,At Risk
10406.0,39,10,935.67,2,2,1,221,Lost Customers
10407.0,28,10,1684.86,3,2,2,322,Potential Loyalists
10408.0,9,25,4926.07,4,4,4,444,Champions
10409.0,153,6,1161.58,1,1,1,111,Lost Customers
10410.0,123,5,844.77,1,1,1,111,Lost Customers
10411.0,348,3,278.90000000000003,1,1,1,111,Lost Customers
10412.0,511,1,227.52,1,1,1,111,Lost Customers
10413.0,8,9,1442.26,4,2,2,422,Potential Loyalists
10414.0,65,18,3446.81,2,4,4,244,At Risk
10415.0,5,23,3143.6,5,4,3,543,Loyal Customers
10416.0,62,12,2174.12,2,3,2,232,At Risk
10417.0,13,33,5579.91,4,5,5,455,Champions
10418.0,16,28,5946.09,4,5,5,455,Champions
10419.0,2,12,3035.2200000000003,5,3,3,533,Potential Loyalists
10420.0,17,41,8076.5599999999995,4,5,5,455,Champions
10421.0,20,19,2819.58,3,4,3,343,Loyal Customers
10422.0,239,4,501.14,1,1,1,111,Lost Customers
10423.0,26,7,1051.18,3,1,1,311,Potential Loyalists
10424.0,106,5,741.11,1,1,1,111,Lost Customers
10425.0,62,8,1035.73,2,2,1,221,Lost Customers
10426.0,12,12,3068.06,4,3,3,433,Potential Loyalists
10427.0,33,28,5620.97,3,5,5,355,Loyal Customers
10428.0,2,62,14433.02,5,5,5,555,Champions
10429.0,49,2,250.46,2,1,1,211,Lost Customers
10430.0,59,21,3846.89,2,4,4,244,At Risk
10431.0,23,7,1074.18,3,1,1,311,Potential Loyalists
10432.0,5,26,6205.68,5,4,5,545,Champions
10433.0,174,9,2562.33,1,2,3,123,Potential Loyalists
10434.0,105,2,299.76,1,1,1,111,Lost Customers
10435.0,7,27,4252.96,5,4,4,544,Champions
10436.0,35,6,1737.4,3,1,2,312,Potential Loyalists
10437.0,122,13,2175.84,1,3,2,132,At Risk
10438.0,272,5,664.31,1,1,1,111,Lost Customers
10439.0,28,10,2614.09,3,2,3,323,Potential Loyalists
10440.0,19,24,3759.57,4,4,4,444,Champions
10441.0,45,8,1237.23,2,2,1,221,Lost Customers
10442.0,6,19,3503.15,5,4,4,544,Champions
10443.0,65,23,4082.8199999999997,2,4,4,244,At Risk
10444.0,11,36,8777.72,4,5,5,455,Champions
10445.0,19,5,1010.03,4,1,1,411,Potential Loyalists
10446.0,205,5,709.45,1,1,1,111,Lost Customers
10447.0,10,27,5151.86,4,4,4,444,Champions
10448.0,37,12,2540.38,3,3,3,333,Potential Loyalists
10449.0,9,38,7868.48,4,5,5,455,Champions
10450.0,18,24,4352.42,4,4,4,444,Champions
10451.0,66,7,1442.49,2,1,2,212,Lost Customers
10452.0,54,19,4170.82,2,4,4,244,At Risk
10453.0,7,66,14361.88,5,5,5,555,Champions
10454.0,4,77,15901.810000000001,5,5,5,555,Champions
10455.0,3,17,2784.77,5,3,3,533,Potential Loyalists
10456.0,38,9,1024.52,3,2,1,321,Potential Loyalists
10457.0,29,33,6212.44,3,5,5,355,Loyal Customers
10458.0,55,12,2673.63,2,3,3,233,At Risk
10459.0,9,23,3722.76,4,4,4,444,Champions
10460.0,23,17,3901.84,3,3,4,334,Potential Loyalists
10461.0,30,12,2483.3,3,3,3,333,Potential Loyalists
10462.0,49,10,2027.13,2,2,2,222,Lost Customers
10463.0,505,2,291.41999999999996,1,1,1,111,Lost Customers
10464.0,50,1,253.45,2,1,1,211,Lost Customers
10465.0,132,6,1289.58,1,1,1,111,Lost Customers
10466.0,98,10,1698.84,1,2,2,122,Lost Customers
10467.0,37,16,2925.0,3,3,3,333,Potential Loyalists
10468.0,1,72,12198.18,5,5,5,555,Champions
10469.0,28,28,4663.18,3,5,4,354,Loyal Customers
10470.0,57,9,1993.35,2,2,2,222,Lost Customers
10471.0,203,10,1969.08,1,2,2,122,Lost Customers
10472.0,200,10,1639.16,1,2,2,122,Lost Customers
10473.0,27,17,4157.26,3,3,4,334,Potential Loyalists
10474.0,16,19,3265.04,4,4,3,443,Loyal Customers
10475.0,55,21,4989.36,2,4,4,244,At Risk
10476.0,94,8,1531.1,1,2,2,122,Lost Customers
10477.0,13,32,6110.3,4,5,5,455,Champions
